iter	MultiClass
0	1.270882513
1	1.175464989
2	1.094236313
3	1.023787648
4	0.9618082168
5	0.9063999862
6	0.858765102
7	0.8147054601
8	0.7744275162
9	0.7388005664
10	0.7058904454
11	0.6751422415
12	0.6473376393
13	0.6221095372
14	0.5980054968
15	0.5764347027
16	0.5565282338
17	0.537766884
18	0.5202479803
19	0.5033595322
20	0.4883311987
21	0.4738837069
22	0.4602765179
23	0.4478514494
24	0.4359064718
25	0.4247818438
26	0.4143285275
27	0.4044087811
28	0.39560821
29	0.386910309
30	0.3783247416
31	0.3703450167
32	0.3629211503
33	0.3561233692
34	0.3495101608
35	0.3433423259
36	0.3379759786
37	0.3326825966
38	0.3275393352
39	0.3228190231
40	0.3180853976
41	0.3133340082
42	0.3088840463
43	0.3049408611
44	0.3011720202
45	0.2972060183
46	0.2938180003
47	0.2907807848
48	0.2877843255
49	0.2846543221
50	0.2821036457
51	0.2795371143
52	0.2766897176
53	0.2740330382
54	0.2716771296
55	0.2690769101
56	0.2671886557
57	0.2652084747
58	0.2631438943
59	0.2614387687
60	0.2596740816
61	0.2578214835
62	0.2558829256
63	0.2545859586
64	0.2530098384
65	0.2515404935
66	0.2501754497
67	0.2487997935
68	0.2476551941
69	0.2464533548
70	0.2450025252
71	0.2438975745
72	0.2428258139
73	0.2417006948
74	0.2407671966
75	0.2399258256
76	0.2392064354
77	0.2383125052
78	0.2375564646
79	0.2363529161
80	0.235624861
81	0.2348414721
82	0.2341220839
83	0.2334271525
84	0.2328068806
85	0.2322240913
86	0.2314420427
87	0.23091963
88	0.230388802
89	0.2298626717
90	0.2289687959
91	0.2284557112
92	0.227838413
93	0.2269864982
94	0.2265752602
95	0.2258519823
96	0.2253874098
97	0.2249169037
98	0.2245808645
99	0.2240730942
100	0.2235658886
101	0.2231231331
102	0.2227321201
103	0.2224396371
104	0.2221038348
105	0.2217754083
106	0.2214249303
107	0.2210597683
108	0.2207378536
109	0.2203570623
110	0.2200876525
111	0.2197711534
112	0.2195195978
113	0.2191192987
114	0.2187775386
115	0.2183389498
116	0.2180166493
