iter	Passed	Remaining
0	254	126831
1	378	94297
2	464	76919
3	555	68910
4	640	63391
5	731	60257
6	810	57100
7	909	55958
8	1021	55733
9	1141	55921
10	1250	55606
11	1377	56023
12	1483	55563
13	1568	54454
14	1673	54104
15	1781	53901
16	1883	53523
17	1997	53496
18	2111	53463
19	2198	52766
20	2293	52316
21	2409	52352
22	2506	51972
23	2626	52100
24	2719	51665
25	2815	51322
26	2916	51094
27	3010	50743
28	3105	50441
29	3203	50186
30	3295	49853
31	3393	49637
32	3487	49354
33	3579	49053
34	3664	48682
35	3761	48482
36	3845	48123
37	3925	47729
38	4005	47344
39	4087	47001
40	4166	46645
41	4247	46314
42	4324	45955
43	4416	45769
44	4521	45721
45	4626	45663
46	4715	45453
47	4830	45485
48	4935	45427
49	5029	45268
50	5120	45078
51	5217	44948
52	5313	44817
53	5424	44806
54	5538	44814
55	5636	44687
56	5733	44560
57	5836	44480
58	5953	44496
59	6049	44365
60	6149	44253
61	6241	44091
62	6333	43932
63	6436	43845
64	6529	43694
65	6616	43510
66	6703	43324
67	6806	43243
68	6924	43251
69	7029	43181
70	7213	43585
71	7311	43463
72	7425	43435
73	7512	43246
74	7608	43114
75	7701	42964
76	7785	42769
77	7877	42618
78	7978	42516
79	8063	42331
80	8161	42217
81	8261	42114
82	8362	42012
83	8491	42055
84	8590	41942
85	8681	41792
86	8785	41703
87	8878	41568
88	8978	41463
89	9080	41365
90	9184	41277
91	9288	41190
92	9407	41172
93	9510	41078
94	9627	41042
95	9733	40961
96	9836	40868
97	9921	40697
98	10020	40589
99	10113	40454
100	10215	40354
101	10309	40228
102	10402	40096
103	10512	40029
104	10618	39947
105	10738	39913
106	10828	39771
107	10938	39701
108	11053	39649
109	11142	39504
110	11256	39447
111	11352	39326
112	11440	39180
113	11544	39090
114	11654	39017
115	11753	38906
116	11842	38765
117	11947	38677
118	12057	38603
119	12156	38496
120	12264	38414
121	12387	38379
122	12489	38280
123	12606	38226
124	12686	38059
125	12778	37929
126	12887	37850
127	12979	37722
128	13087	37637
129	13180	37513
130	13265	37366
131	13354	37231
132	13460	37143
133	13564	37048
134	13657	36925
135	13758	36824
136	13869	36748
137	14003	36732
138	14093	36602
139	14185	36476
140	14282	36363
141	14364	36215
142	14458	36096
143	14555	35985
144	14667	35910
145	14761	35790
146	14871	35711
147	14968	35599
148	15047	35447
149	15160	35375
150	15254	35257
151	15365	35177
152	15474	35094
153	15568	34978
154	15679	34900
155	15791	34822
156	15896	34728
157	15988	34608
158	16082	34491
159	16192	34408
160	16317	34357
161	16415	34250
162	16520	34155
163	16637	34086
164	16747	34002
