item_id,item_name,category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,daily_sales,elasticity,restock_frequency_days,last_restock_date,next_restock_date,carbon_score,predicted_monthly_sales,predicted_daily_sales,days_until_restock,days_stock_lasts,risk_score,risk_tag,forecasted_waste_units,forecasted_waste_value,recommended_action,co2_saved_kg,meals_saved,water_saved_liters,energy_saved_kwh,sustainability_score,efficiency_ratio,tactical_note,confidence,overstock_score
WMCC4E19,Sara Lee Rolls 12oz,Perishable,Bakery,11,0,439,0,7.23,7.23,24,0.79,1,2025-06-27,2025-06-28,6.09,737.71,24.59,1,9.23139481868243,66.46,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $7.23 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM800E59,Organic Milk,Perishable,Dairy,32,0,70,70,2.71,2.71,46,0.0,1,2025-06-27,2025-06-28,4.93,1376.58,45.89,1,0.3268686031707292,78.85,🔴 HIGH RISK – Act Now,70,189.7,Strategic Discount - Tier 2,345.1,233.33,3500,17.5,100.0,1.819,Action: Apply Tier 2 Strategic Discount. New price: $2.71 (0.0% reduction). Addressing overstock. 🌱 High sustainability impact.,✅ Confident action,1.52
WM79D312,Barilla Butter,Perishable,Dairy,56,0,223,0,2.69,2.69,35,0.26,2,2025-06-29,2025-07-01,8.16,1061.46,35.38,3,6.218202186496425,80.04,🔴 HIGH RISK – Act Now,0,0.0,Strategic Discount - Tier 1,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 1 Strategic Discount. New price: $2.69 (0.0% reduction). Risk factor: 🔴 HIGH RISK – Act Now.,✅ Confident action,0.0
WM89D9A6,Sara Lee Detergent,Perishable,Household,387,156,64,147,10.1,10.1,5,0.0,9,2025-06-18,2025-06-27,5.65,151.87,5.06,8,3.952569214657673,86.48,🔴 HIGH RISK – Act Now,0,0.0,Strategic Discount - Tier 1,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 1 Strategic Discount. New price: $10.10 (0.0% reduction). Risk factor: 🔴 HIGH RISK – Act Now.,✅ Confident action,29.4
WMCE2101,Sara Lee Cereal,Perishable,Grocery,526,245,484,2576,3.12,3.12,14,0.61,9,2025-06-17,2025-06-26,2.27,455.02,15.17,10,16.34805529022692,64.35,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $3.12 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,184.0
WM2075F6,Great Value Chicken 16oz,Perishable,Meat,10,0,342,0,8.58,8.58,70,0.47,2,2025-06-27,2025-06-29,3.46,2074.18,69.14,3,1.316170101291965,59.14,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM7A7EB6,Fresh Potatoes 16oz,Perishable,Produce,7,0,432,0,2.74,2.74,64,0.3,1,2025-06-25,2025-06-26,3.07,1932.81,64.43,1,2.824771055997956,59.28,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM51872E,Campbell's Croissants,Perishable,Bakery,33,0,474,0,7.1,7.1,25,1.25,1,2025-06-20,2025-06-21,6.79,759.73,25.32,1,9.715639927526777,67.16,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $7.10 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WMC6468C,Campbell's Chicken 16oz,Perishable,Meat,6,0,50,0,3.4,3.4,34,0.4,1,2025-06-24,2025-06-25,4.69,1036.43,34.55,1,1.0130246243958452,64.76,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $3.40 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM75CEA9,Sara Lee Detergent,Perishable,Household,708,618,163,40,7.42,7.42,52,0.0,10,2025-06-26,2025-07-06,4.13,1581.62,52.72,11,1.858877043453395,36.22,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.77
