item_id,item_name,category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,daily_sales,elasticity,restock_frequency_days,last_restock_date,next_restock_date,carbon_score,predicted_monthly_sales,predicted_daily_sales,days_until_restock,days_stock_lasts,risk_score,risk_tag,forecasted_waste_units,forecasted_waste_value,recommended_action,co2_saved_kg,meals_saved,water_saved_liters,energy_saved_kwh,sustainability_score,efficiency_ratio,tactical_note,confidence,overstock_score
WMCC4E19,Sara Lee Rolls 12oz,Perishable,Bakery,11,0,439,0,7.23,7.23,24,0.79,1,2025-06-27,2025-06-28,6.09,737.71,24.59,0,9.23139481868243,66.46,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $7.23 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM800E59,Organic Milk,Perishable,Dairy,32,0,70,0,2.71,2.71,46,0.0,1,2025-06-27,2025-06-28,4.93,1376.58,45.89,0,0.3268686031707292,69.72,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $2.71 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM79D312,Barilla Butter,Perishable,Dairy,56,0,223,0,2.69,2.69,35,0.26,2,2025-06-29,2025-07-01,8.16,1061.46,35.38,2,6.218202186496425,80.04,🔴 HIGH RISK – Act Now,0,0.0,Strategic Discount - Tier 1,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 1 Strategic Discount. New price: $2.69 (0.0% reduction). Risk factor: 🔴 HIGH RISK – Act Now.,✅ Confident action,0.0
WM89D9A6,Sara Lee Detergent,Perishable,Household,387,155,64,136,10.1,10.1,5,0.0,9,2025-06-18,2025-06-27,5.65,151.87,5.06,7,3.952569214657673,86.58,🔴 HIGH RISK – Act Now,0,0.0,Strategic Discount - Tier 1,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 1 Strategic Discount. New price: $10.10 (0.0% reduction). Risk factor: 🔴 HIGH RISK – Act Now.,✅ Confident action,27.2
WMCE2101,Sara Lee Cereal,Perishable,Grocery,526,244,484,2552,3.12,3.12,14,0.61,9,2025-06-17,2025-06-26,2.27,455.02,15.17,9,16.34805529022692,64.42,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $3.12 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,182.29
WM2075F6,Great Value Chicken 16oz,Perishable,Meat,10,0,342,0,8.58,8.58,70,0.47,2,2025-06-27,2025-06-29,3.46,2074.18,69.14,2,1.316170101291965,59.14,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM7A7EB6,Fresh Potatoes 16oz,Perishable,Produce,7,0,432,0,2.74,2.74,64,0.3,1,2025-06-25,2025-06-26,3.07,1932.81,64.43,0,2.824771055997956,59.28,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM51872E,Campbell's Croissants,Perishable,Bakery,33,0,474,0,7.1,7.1,25,1.25,1,2025-06-20,2025-06-21,6.79,759.73,25.32,0,9.715639927526777,67.16,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $7.10 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WMC6468C,Campbell's Chicken 16oz,Perishable,Meat,6,0,50,0,3.4,3.4,34,0.4,1,2025-06-24,2025-06-25,4.69,1036.43,34.55,0,1.0130246243958452,64.76,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $3.40 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM75CEA9,Sara Lee Detergent,Perishable,Household,708,617,163,0,7.42,7.42,52,0.0,10,2025-06-26,2025-07-06,4.13,1581.62,52.72,10,1.858877043453395,31.66,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WMCC153D,Great Value Rice 12oz,Perishable,Grocery,505,433,158,0,7.74,7.74,40,0.0,11,2025-06-26,2025-07-07,7.77,1173.71,39.12,4,1.8660532206840457,46.78,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WME521CE,Great Value Croissants,Perishable,Bakery,51,0,149,0,8.19,8.19,50,1.0,2,2025-06-21,2025-06-23,0.06,1520.65,50.69,2,1.2625764792638574,40.24,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WMBE8D91,Tyson Rolls Organic,Perishable,Bakery,17,0,417,0,5.53,5.53,38,0.94,1,2025-06-29,2025-06-30,6.56,1200.07,40.0,1,5.775,66.84,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $5.53 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM33D398,Fresh Lettuce 16oz,Perishable,Produce,10,0,122,0,6.26,6.26,74,0.99,2,2025-06-19,2025-06-21,2.57,2243.43,74.78,2,0.4546670306902041,50.38,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WMD08895,Great Value Sauce,Non-Perishable,Grocery,453,272,374,0,5.65,5.65,69,1.13,11,2025-06-26,2025-07-07,6.44,2097.71,69.92,4,4.018878823781277,41.74,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WM17F0FC,Uncle Ben's Croissants,Perishable,Bakery,31,0,271,0,7.36,7.36,12,0.92,1,2025-06-20,2025-06-21,4.73,370.5,12.35,1,18.461537891294103,59.72,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM46B7BD,Barilla Croissants 16oz,Perishable,Bakery,55,0,484,0,8.6,8.6,42,1.31,1,2025-06-30,2025-07-01,4.32,1274.17,42.47,0,2.5900634998422745,57.28,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WM95FA67,Uncle Ben's Yogurt Organic,Perishable,Dairy,38,0,113,0,8.84,8.84,64,0.75,1,2025-06-19,2025-06-20,7.11,1990.56,66.35,0,0.9947249663576464,70.94,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $8.84 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM413B05,Organic Croissants,Perishable,Bakery,7,0,332,0,1.17,1.17,17,0.12,1,2025-06-17,2025-06-18,4.18,524.33,17.48,1,16.01830705564068,65.52,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $1.17 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM30CBCD,Canned Flakes 16oz,Perishable,Grocery,315,194,212,0,5.46,5.46,55,0.63,7,2025-06-19,2025-06-26,2.46,1680.15,56.0,4,3.392857142857143,28.91,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WM66AE51,Heinz Rice,Perishable,Grocery,707,440,68,0,4.62,4.62,65,0.0,7,2025-06-17,2025-06-24,3.84,2024.68,67.49,2,0.6815824782340681,40.47,🟢 LOW RISK – Stable,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,🟢 Low risk zone,0.0
WMB9543C,Fresh Bananas,Perishable,Produce,8,0,92,0,9.38,9.38,54,1.37,1,2025-06-19,2025-06-20,5.45,1600.98,53.37,1,1.4614952512843422,61.8,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $9.38 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM49124C,Organic Bread 16oz,Perishable,Bakery,22,0,92,0,9.81,9.81,2,0.0,1,2025-06-18,2025-06-19,6.2,192.83,6.43,1,10.730948964555129,74.8,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $9.81 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM2A000F,Del Monte Croissants 12oz,Perishable,Bakery,53,0,56,0,5.26,5.26,57,0.94,2,2025-06-30,2025-07-02,8.09,1740.65,58.02,1,0.2412961028876837,72.96,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $5.26 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WM3061B3,Campbell's Pasta 12oz,Perishable,Grocery,570,196,295,1085,4.17,4.17,16,0.47,9,2025-06-22,2025-07-01,5.42,476.93,15.9,9,4.528301995434599,83.23,🔴 HIGH RISK – Act Now,0,0.0,Strategic Discount - Tier 1,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 1 Strategic Discount. New price: $4.17 (0.0% reduction). Risk factor: 🔴 HIGH RISK – Act Now.,✅ Confident action,67.81
WMA1E822,Organic Carrots,Perishable,Produce,11,0,444,0,8.13,8.13,19,1.46,2,2025-07-01,2025-07-03,3.58,591.23,19.71,3,9.233891854585512,54.32,🟠 MEDIUM RISK – Monitor,0,0.0,NO ACTION,0.0,0.0,0,0.0,0.0,0.0,Status: Stable. No action required.,⚠️ Moderate confidence,0.0
WMFE9B2C,Apples,Perishable,Produce,14,0,243,0,7.67,7.67,74,1.61,1,2025-06-21,2025-06-22,5.04,2307.81,76.93,0,1.2608865152113349,60.16,🟠 MEDIUM RISK – Monitor,0,0.0,Strategic Discount - Tier 2,0.0,0.0,0,0.0,0.0,0.0,Action: Apply Tier 2 Strategic Discount. New price: $7.67 (0.0% reduction). Addressing overstock.,⚠️ Moderate confidence,0.0
WMA6C3D8,Tyson Sauce,Perishable,Grocery,699,600,308,1538,4.76,4.76,2,0.49,12,2025-06-25,2025-07-07,2.61,83.52,2.78,11,54.67625955550372,51.21,🟠 MEDIUM RISK – Monitor,338,1608.88,RETURN to Supplier,882.18,1126.67,16900,84.5,100.0,0.548,Action: Return to supplier. Potential loss avoided: $1608.88.,⚠️ Moderate confidence,769.0
