category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,elasticity,restock_frequency_days,carbon_score,predicted_daily_sales,days_until_restock,days_stock_lasts,risk_score,forecasted_waste_units,forecasted_waste_value,recommended_action,co2_saved_kg,meals_saved,water_saved_liters,energy_saved_kwh,sustainability_score,efficiency_ratio,overstock_score
1,0,11,0,439,0,7.23,7.23,0.79,1,6.09,24.59,0,9.23139481868243,66.46,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,32,0,70,0,2.71,2.71,0.0,1,4.93,45.89,0,0.3268686031707292,69.72,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,56,0,223,0,2.69,2.69,0.26,2,8.16,35.38,0,6.218202186496425,80.04,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
1,4,387,171,64,100,10.1,10.1,0.0,9,5.65,5.06,2,3.952569214657673,84.93,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,20.0
1,3,526,260,484,1948,3.12,3.12,0.61,9,2.27,15.17,2,16.34805529022692,63.21,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,139.14
1,5,10,0,342,0,8.58,8.58,0.47,2,3.46,69.14,0,1.316170101291965,59.14,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,7,0,432,0,2.74,2.74,0.3,1,3.07,64.43,0,2.824771055997956,59.28,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,33,0,474,0,7.1,7.1,1.25,1,6.79,25.32,0,9.715639927526777,67.16,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,6,0,50,0,3.4,3.4,0.4,1,4.69,34.55,0,1.0130246243958452,64.76,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,4,708,633,163,0,7.42,7.42,0.0,10,4.13,52.72,1,1.858877043453395,30.76,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,505,449,158,0,7.74,7.74,0.0,11,7.77,39.12,6,1.8660532206840457,45.52,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,51,0,149,0,8.19,8.19,1.0,2,0.06,50.69,0,1.2625764792638574,40.24,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,17,0,417,0,5.53,5.53,0.94,1,6.56,40.0,0,5.775,66.84,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,10,0,122,0,6.26,6.26,0.99,2,2.57,74.78,0,0.4546670306902041,50.38,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,453,288,374,29,5.65,5.65,1.13,11,6.44,69.92,6,4.018878823781277,42.85,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.42
1,0,31,0,271,0,7.36,7.36,0.92,1,4.73,12.35,0,18.461537891294103,59.72,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,55,0,484,0,8.6,8.6,1.31,1,4.32,42.47,0,2.5900634998422745,57.28,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,38,0,113,0,8.84,8.84,0.75,1,7.11,66.35,0,0.9947249663576464,70.94,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,7,0,332,0,1.17,1.17,0.12,1,4.18,17.48,0,16.01830705564068,65.52,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
